,Frequency
hsa-mir-4453,2
hsa-mir-188,2
hsa-mir-4535,2
hsa-mir-4317,2
hsa-mir-548at,2
hsa-mir-6755,2
hsa-mir-7161,2
hsa-mir-501,2
hsa-mir-4637,2
hsa-mir-6893,2
hsa-mir-5087,2
hsa-mir-653,2
hsa-mir-4448,2
hsa-mir-4767,2
hsa-mir-4523,2
hsa-mir-1298,2
hsa-mir-4315-1,2
hsa-mir-1206,2
hsa-mir-6838,2
hsa-mir-548o-2,2
hsa-mir-4649,2
hsa-mir-4434,2
hsa-mir-4645,2
hsa-mir-548an,2
hsa-mir-381,2
hsa-mir-6506,2
hsa-mir-4435-1,2
hsa-mir-4736,2
hsa-mir-509-2,2
hsa-mir-7975,2
hsa-mir-549a,2
hsa-mir-548p,2
hsa-mir-1252,2
hsa-mir-4795,2
hsa-mir-7151,2
hsa-mir-548h-3,2
hsa-mir-3135a,2
hsa-mir-514a-2,2
hsa-mir-4468,2
hsa-mir-6780a,2
hsa-mir-6841,2
hsa-mir-4633,2
hsa-mir-4534,2
hsa-mir-4295,2
hsa-mir-548am,2
hsa-mir-512-2,2
hsa-mir-548au,2
hsa-mir-5681b,2
hsa-mir-219a-2,2
hsa-mir-1269a,2
hsa-mir-5194,2
hsa-mir-6165,2
hsa-mir-6868,2
hsa-mir-519b,2
hsa-mir-3184,2
hsa-mir-1245b,2
hsa-mir-1275,1
hsa-mir-1911,1
hsa-mir-3929,1
hsa-mir-518a-1,1
hsa-mir-6890,1
hsa-mir-4781,1
hsa-mir-6723,1
hsa-mir-4423,1
hsa-mir-4482,1
hsa-mir-3611,1
hsa-mir-6830,1
hsa-mir-611,1
hsa-mir-6742,1
hsa-mir-6715b,1
hsa-mir-4324,1
hsa-mir-3198-1,1
hsa-mir-3925,1
hsa-mir-5698,1
hsa-mir-3163,1
hsa-mir-4490,1
hsa-mir-4501,1
hsa-mir-708,1
hsa-mir-423,1
hsa-mir-1255b-1,1
hsa-mir-3648-2,1
hsa-mir-224,1
hsa-mir-6793,1
hsa-mir-7154,1
hsa-mir-4748,1
hsa-mir-559,1
hsa-mir-4268,1
hsa-mir-325,1
hsa-mir-450a-1,1
hsa-mir-3118-1,1
hsa-mir-203b,1
hsa-mir-1295b,1
hsa-mir-135a-2,1
hsa-mir-4660,1
hsa-mir-767,1
hsa-mir-941-4,1
hsa-mir-3124,1
hsa-mir-500a,1
hsa-mir-154,1
hsa-mir-639,1
hsa-mir-409,1
hsa-mir-548ag-2,1
hsa-mir-323b,1
hsa-mir-376c,1
hsa-mir-127,1
hsa-mir-4691,1
hsa-mir-3605,1
hsa-mir-200c,1
hsa-mir-4525,1
hsa-mir-6765,1
hsa-mir-147b,1
hsa-mir-6889,1
hsa-mir-489,1
hsa-mir-6753,1
hsa-mir-888,1
hsa-mir-31,1
hsa-mir-876,1
hsa-mir-1184-3,1
hsa-mir-4254,1
hsa-mir-3155a,1
hsa-mir-1915,1
hsa-mir-5582,1
hsa-mir-29b-1,1
hsa-mir-4740,1
hsa-mir-320d-1,1
hsa-mir-299,1
hsa-mir-6821,1
hsa-mir-488,1
hsa-mir-654,1
hsa-mir-6129,1
hsa-mir-8074,1
hsa-mir-4648,1
hsa-mir-5697,1
hsa-mir-1470,1
hsa-mir-6074,1
hsa-mir-744,1
hsa-mir-4314,1
hsa-mir-4282,1
hsa-mir-4676,1
hsa-mir-3154,1
hsa-mir-503,1
hsa-mir-4636,1
hsa-mir-4524a,1
hsa-mir-105-2,1
hsa-mir-6767,1
hsa-mir-6073,1
hsa-mir-3689e,1
hsa-mir-6805,1
hsa-mir-6815,1
hsa-mir-376a-2,1
hsa-mir-4710,1
hsa-mir-3196,1
hsa-mir-1262,1
hsa-mir-6833,1
hsa-mir-6763,1
hsa-mir-3179-4,1
hsa-mir-3666,1
hsa-mir-3192,1
hsa-mir-4638,1
hsa-mir-6512,1
hsa-mir-1273d,1
hsa-mir-4492,1
hsa-mir-4457,1
hsa-mir-6738,1
hsa-mir-376a-1,1
hsa-mir-4749,1
hsa-mir-1267,1
hsa-mir-3138,1
hsa-mir-4746,1
hsa-mir-4797,1
hsa-mir-4313,1
hsa-mir-8087,1
hsa-let-7a-3,1
hsa-mir-1273c,1
hsa-mir-577,1
hsa-mir-323a,1
hsa-mir-449c,1
hsa-mir-449b,1
hsa-mir-380,1
hsa-mir-6879,1
hsa-mir-892c,1
hsa-mir-4446,1
hsa-mir-628,1
hsa-mir-26a-2,1
hsa-mir-216a,1
hsa-mir-103a-1,1
hsa-mir-1279,1
hsa-mir-543,1
hsa-mir-6069,1
hsa-mir-620,1
hsa-mir-369,1
hsa-mir-4477b,1
hsa-mir-6724-2,1
hsa-mir-496,1
hsa-mir-4722,1
hsa-mir-6807,1
hsa-mir-105-1,1
hsa-mir-3157,1
hsa-mir-421,1
hsa-mir-4791,1
hsa-mir-6749,1
hsa-mir-676,1
hsa-mir-4509-1,1
hsa-mir-3940,1
hsa-mir-5088,1
hsa-mir-4265,1
hsa-mir-6773,1
hsa-mir-3908,1
hsa-mir-1197,1
hsa-mir-1302-7,1
hsa-mir-3937,1
hsa-mir-6819,1
hsa-mir-5584,1
hsa-mir-539,1
hsa-mir-181c,1
hsa-mir-4793,1
hsa-mir-197,1
hsa-mir-1976,1
hsa-mir-23c,1
hsa-mir-6799,1
hsa-mir-6511a-4,1
hsa-mir-495,1
hsa-mir-548z,1
hsa-mir-181d,1
hsa-mir-28,1
hsa-mir-3622a,1
hsa-mir-8060,1
hsa-mir-6718,1
hsa-mir-494,1
hsa-mir-4695,1
hsa-mir-449a,1
hsa-mir-541,1
hsa-mir-4290,1
hsa-mir-4755,1
hsa-mir-17,1
hsa-mir-374c,1
hsa-mir-6847,1
hsa-mir-548aj-1,1
hsa-mir-6761,1
hsa-mir-1261,1
hsa-mir-199a-1,1
hsa-mir-4665,1
hsa-mir-935,1
hsa-mir-375,1
hsa-mir-1255b-2,1
hsa-mir-1321,1
hsa-mir-3130-2,1
hsa-mir-6854,1
hsa-mir-4787,1
hsa-mir-6806,1
hsa-mir-4529,1
hsa-mir-199a-2,1
hsa-mir-4524b,1
hsa-mir-6877,1
hsa-mir-504,1
hsa-mir-7846,1
hsa-mir-3913-2,1
hsa-mir-335,1
hsa-mir-6720,1
hsa-mir-1282,1
hsa-mir-412,1
hsa-mir-544a,1
hsa-mir-4537,1
hsa-mir-604,1
hsa-mir-548i-1,1
hsa-mir-3687-2,1
hsa-mir-548aa-1,1
hsa-mir-92a-2,1
hsa-mir-3613,1
hsa-let-7a-1,1
hsa-mir-432,1
hsa-mir-4433a,1
hsa-mir-4650-2,1
hsa-mir-4483,1
hsa-mir-7978,1
hsa-mir-8064,1
hsa-mir-764,1
hsa-mir-519a-2,1
hsa-mir-6777,1
hsa-mir-433,1
hsa-mir-130a,1
hsa-mir-196a-1,1
hsa-mir-26a-1,1
hsa-mir-6503,1
hsa-mir-548s,1
hsa-mir-30b,1
hsa-mir-4474,1
hsa-mir-23a,1
hsa-mir-379,1
hsa-mir-8080,1
hsa-mir-4433b,1
hsa-mir-6778,1
hsa-mir-4296,1
hsa-mir-4786,1
hsa-mir-21,1
hsa-mir-548i-4,1
hsa-mir-4486,1
hsa-let-7a-2,1
hsa-mir-548d-2,1
hsa-mir-1973,1
hsa-mir-6794,1
hsa-mir-920,1
hsa-mir-5682,1
hsa-mir-518d,1
subtype,1
hsa-mir-4704,1
hsa-mir-517b,1
hsa-mir-513a-2,1
hsa-mir-6791,1
hsa-mir-7852,1
hsa-mir-3198-2,1
hsa-mir-5189,1
hsa-mir-4291,1
hsa-mir-8062,1
hsa-mir-431,1
hsa-mir-4657,1
hsa-mir-4640,1
hsa-mir-4293,1
hsa-mir-4509-2,1
hsa-mir-943,1
hsa-mir-587,1
hsa-mir-3529,1
hsa-mir-3935,1
hsa-mir-3663,1
hsa-mir-134,1
hsa-mir-5701-2,1
hsa-mir-1273f,1
