Fold-Change,Chi-Squared,Information Gain
hsa-mir-4698,hsa-mir-4694,hsa-mir-4509-2
hsa-mir-4701,hsa-mir-4695,hsa-mir-450a-1
hsa-mir-4704,hsa-mir-4697,hsa-mir-4512
hsa-mir-4705,hsa-mir-4698,hsa-mir-4513
hsa-mir-4711,hsa-mir-4703,hsa-mir-4516
hsa-mir-4712,hsa-mir-4705,hsa-mir-4520-2
hsa-mir-4718,hsa-mir-4710,hsa-mir-4524a
hsa-mir-4719,hsa-mir-4711,hsa-mir-4524b
hsa-mir-4734,hsa-mir-4712,hsa-mir-4526
hsa-mir-4735,hsa-mir-4719,hsa-mir-4529
hsa-mir-4737,hsa-mir-4720,hsa-mir-4538
hsa-mir-4739,hsa-mir-4721,hsa-mir-454
hsa-mir-4744,hsa-mir-4722,hsa-mir-4632
hsa-mir-4756,hsa-mir-4726,hsa-mir-4634
hsa-mir-4759,hsa-mir-4729,hsa-mir-4635
hsa-mir-4764,hsa-mir-4730,hsa-mir-4636
hsa-mir-4765,hsa-mir-4731,hsa-mir-4637
hsa-mir-4768,hsa-mir-4733,hsa-mir-4638
hsa-mir-4774,hsa-mir-4734,hsa-mir-4640
hsa-mir-4776-1,hsa-mir-4735,hsa-mir-4642
hsa-mir-4776-2,hsa-mir-4736,hsa-mir-4652
hsa-mir-4779,hsa-mir-4737,hsa-mir-4653
hsa-mir-4780,hsa-mir-4744,hsa-mir-4656
hsa-mir-4782,hsa-mir-4747,hsa-mir-4657
hsa-mir-4783,hsa-mir-4749,hsa-mir-4659b
hsa-mir-4788,hsa-mir-4752,hsa-mir-466
hsa-mir-4790,hsa-mir-4760,hsa-mir-4660
hsa-mir-4794,hsa-mir-4764,hsa-mir-4665
hsa-mir-4795,hsa-mir-4765,hsa-mir-4667
hsa-mir-4803,hsa-mir-4767,hsa-mir-4669
hsa-mir-498,hsa-mir-4773-1,hsa-mir-4676
hsa-mir-499b,hsa-mir-4773-2,hsa-mir-4680
hsa-mir-5007,hsa-mir-4774,hsa-mir-4682
hsa-mir-5011,hsa-mir-4776-1,hsa-mir-4684
hsa-mir-5047,hsa-mir-4776-2,hsa-mir-4686
hsa-mir-506,hsa-mir-4779,hsa-mir-4691
hsa-mir-507,hsa-mir-4780,hsa-mir-4693
hsa-mir-508,hsa-mir-4782,hsa-mir-4698
hsa-mir-509-1,hsa-mir-4790,hsa-mir-4700
