Fold-Change,RFE,NCA
hsa-mir-4765,,hsa-mir-4700
hsa-mir-4768,,hsa-mir-4703
hsa-mir-4774,,hsa-mir-4706
hsa-mir-4776-1,,hsa-mir-4711
hsa-mir-4776-2,,hsa-mir-4712
hsa-mir-4779,,hsa-mir-4717
hsa-mir-4780,,hsa-mir-4718
hsa-mir-4782,,hsa-mir-4720
hsa-mir-4783,,hsa-mir-4721
hsa-mir-4788,,hsa-mir-4726
hsa-mir-4790,,hsa-mir-4727
hsa-mir-4794,,hsa-mir-4729
hsa-mir-4795,,hsa-mir-4731
hsa-mir-4803,,hsa-mir-4733
hsa-mir-498,,hsa-mir-4736
hsa-mir-499b,,hsa-mir-4737
hsa-mir-5007,,hsa-mir-4739
hsa-mir-5011,,hsa-mir-4743
hsa-mir-5047,,hsa-mir-4744
hsa-mir-506,,hsa-mir-4747
hsa-mir-507,,hsa-mir-4752
hsa-mir-508,,hsa-mir-4763
hsa-mir-509-1,,hsa-mir-4764
hsa-mir-509-2,,hsa-mir-4767
hsa-mir-509-3,,hsa-mir-4768
hsa-mir-5093,,hsa-mir-4769
hsa-mir-5095,,hsa-mir-4770
hsa-mir-510,,hsa-mir-4771-2
hsa-mir-512-1,,hsa-mir-4773-2
hsa-mir-512-2,,hsa-mir-4775
hsa-mir-513a-1,,hsa-mir-4776-1
hsa-mir-513a-2,,hsa-mir-4776-2
hsa-mir-513c,,hsa-mir-4781
hsa-mir-514a-1,,hsa-mir-4785
hsa-mir-514a-2,,hsa-mir-4792
hsa-mir-514a-3,,hsa-mir-4795
hsa-mir-514b,,hsa-mir-4796
hsa-mir-515-1,,hsa-mir-4798
hsa-mir-515-2,,hsa-mir-4799
hsa-mir-516a-1,,hsa-mir-4802
hsa-mir-516a-2,,hsa-mir-4803
hsa-mir-516b-1,,hsa-mir-4804
hsa-mir-516b-2,,hsa-mir-4999
hsa-mir-517a,,hsa-mir-499b
hsa-mir-517b,,hsa-mir-5007
hsa-mir-517c,,hsa-mir-5009
hsa-mir-518a-1,,hsa-mir-5011
hsa-mir-518a-2,,hsa-mir-5087
hsa-mir-518b,,hsa-mir-5089
hsa-mir-518c,,hsa-mir-5095
hsa-mir-518d,,hsa-mir-5100
hsa-mir-518e,,hsa-mir-5186
hsa-mir-518f,,hsa-mir-5190
hsa-mir-5190,,hsa-mir-5191
hsa-mir-5191,,hsa-mir-5192
hsa-mir-5192,,hsa-mir-5194
hsa-mir-5194,,hsa-mir-544b
hsa-mir-5195,,hsa-mir-548a-1
hsa-mir-5196,,hsa-mir-548aa-2
hsa-mir-519a-1,,hsa-mir-548ab
hsa-mir-519a-2,,hsa-mir-548ac
hsa-mir-519b,,hsa-mir-548ad
hsa-mir-519c,,hsa-mir-548ag-1
hsa-mir-519d,,hsa-mir-548ak
hsa-mir-519e,,hsa-mir-548am
hsa-mir-520a,,hsa-mir-548ap
hsa-mir-520b,,hsa-mir-548ar
hsa-mir-520c,,hsa-mir-548as
hsa-mir-520d,,hsa-mir-548av
hsa-mir-520e,,hsa-mir-548aw
hsa-mir-520f,,hsa-mir-548ax
hsa-mir-520g,,hsa-mir-548az
hsa-mir-520h,,hsa-mir-548c
hsa-mir-521-1,,hsa-mir-548f-5
hsa-mir-521-2,,hsa-mir-548h-5
hsa-mir-522,,hsa-mir-548j
hsa-mir-523,,hsa-mir-548m
hsa-mir-524,,hsa-mir-548n
hsa-mir-525,,hsa-mir-548o-2
hsa-mir-526a-2,,hsa-mir-548p
hsa-mir-526b,,hsa-mir-548q
hsa-mir-527,,hsa-mir-548t
hsa-mir-548a-2,,hsa-mir-548u
hsa-mir-548aa-2,,hsa-mir-548w
hsa-mir-548ad,,hsa-mir-549a
hsa-mir-548ak,,hsa-mir-550b-1
hsa-mir-548am,,hsa-mir-550b-2
hsa-mir-548an,,hsa-mir-552
hsa-mir-548ao,,hsa-mir-5572
hsa-mir-548ap,,hsa-mir-558
hsa-mir-548as,,hsa-mir-5583-1
hsa-mir-548ax,,hsa-mir-5585
hsa-mir-548bb,,hsa-mir-5587
hsa-mir-548c,,hsa-mir-5588
hsa-mir-548f-1,,hsa-mir-5590
hsa-mir-548f-4,,hsa-mir-5591
hsa-mir-548h-3,,hsa-mir-567
hsa-mir-548h-5,,hsa-mir-5680
hsa-mir-548m,,hsa-mir-5681a
hsa-mir-548u,,hsa-mir-5684
hsa-mir-548w,,hsa-mir-5685
hsa-mir-548x,,hsa-mir-5687
hsa-mir-550b-1,,hsa-mir-5689
hsa-mir-550b-2,,hsa-mir-5690
hsa-mir-5572,,hsa-mir-5691
hsa-mir-5583-1,,hsa-mir-5692c-2
hsa-mir-5583-2,,hsa-mir-5696
hsa-mir-5587,,hsa-mir-5698
hsa-mir-5589,,hsa-mir-5700
hsa-mir-5590,,hsa-mir-5702
hsa-mir-5591,,hsa-mir-5703
hsa-mir-563,,hsa-mir-5704
hsa-mir-567,,hsa-mir-5707
hsa-mir-5682,,hsa-mir-5708
hsa-mir-5688,,hsa-mir-571
hsa-mir-5689,,hsa-mir-572
hsa-mir-5690,,hsa-mir-578
hsa-mir-5692a-1,,hsa-mir-588
hsa-mir-5692c-1,,hsa-mir-591
hsa-mir-5692c-2,,hsa-mir-593
hsa-mir-5704,,hsa-mir-596
hsa-mir-5705,,hsa-mir-600
hsa-mir-5707,,hsa-mir-602
hsa-mir-572,,hsa-mir-606
hsa-mir-573,,hsa-mir-6068
hsa-mir-575,,hsa-mir-607
hsa-mir-583,,hsa-mir-6071
hsa-mir-586,,hsa-mir-6076
hsa-mir-587,,hsa-mir-6080
hsa-mir-591,,hsa-mir-6081
hsa-mir-593,,hsa-mir-6084
