Feature,Info_Gain_General,Info_Gain_Stage,Info_Gain_Subtype
hsa-mir-488,0.004466895179148556,0.04194308700635441,0.013283175687036186
hsa-mir-516b-1,0.004448740984258404,0.024573860496528432,0.018384759225603453
hsa-mir-130a,0.004443940910204391,0.012975466111668332,0.0
hsa-mir-889,0.004435533160364158,0.0,0.0
hsa-mir-6511a-4,0.004412717952180012,0.02109222634064789,0.0
hsa-mir-767,0.004403909585453114,0.0,0.0
hsa-mir-325,0.004396049663226487,0.0,0.014882099773266377
hsa-mir-6818,0.004374513500954302,0.0,0.014100126308939975
hsa-mir-520a,0.004363027035980349,0.006097481802896709,0.0
hsa-mir-628,0.004352759441045961,0.0,0.0027930626287506755
hsa-mir-7154,0.004339123799072975,0.02211224018401614,0.0
hsa-mir-26a-1,0.0043264351197098705,0.0,0.0
hsa-mir-497,0.004323858762180555,0.0,0.01847889240286449
hsa-mir-548v,0.004311026497191506,0.018148483149403205,0.0
hsa-mir-127,0.004304432439285466,0.0,0.0
hsa-mir-3670-3,0.004300853562555829,0.0,0.0009206893880200351
hsa-mir-1303,0.004289795105403393,0.0009994169071569914,0.013708770934385495
hsa-mir-4752,0.004277953229217868,0.016218574366384075,0.011080701925649361
hsa-mir-4733,0.004267417556973685,0.016502001334376182,0.011419932658063514
hsa-mir-3132,0.004229835362259626,0.0,0.0
hsa-mir-1288,0.004226599368406969,0.0015567889439238591,0.0064366407986165
hsa-mir-6755,0.004201183202548253,0.04322983176285922,0.022944913702389602
hsa-mir-3690-2,0.004187559896748683,0.0,0.029317975850996936
hsa-mir-3662,0.004184211744320487,0.0,0.006285847099110953
hsa-mir-3182,0.00416753194242514,0.022069256065311293,0.0
hsa-mir-3927,0.004165473407250153,0.0,0.0
hsa-mir-450a-1,0.0041170032425295044,0.015527546790246483,0.016008338900822983
hsa-mir-1290,0.004027831191563247,0.0,0.0
hsa-mir-1302-3,0.0040234225915254385,0.03974664300848385,0.01868226653244842
hsa-mir-520d,0.00400170776677411,0.013724506023880867,0.010869881121763791
hsa-mir-1261,0.0039916274555288345,0.0047773329581461965,0.0
hsa-mir-199b,0.003977779655292335,0.012387592407931525,0.019291624468338098
hsa-mir-2052,0.003965899809508344,0.0,0.024145936211077856
hsa-mir-7109,0.0039527398410582615,0.0,0.005450033184188241
hsa-mir-642b,0.003934150254693236,0.01038383175703883,0.01711147166039395
hsa-mir-6801,0.003906587568269337,0.021870341240654234,0.01628763281196055
hsa-mir-1293,0.0038918614438187005,0.003782055039014409,0.002859877190784621
hsa-mir-103a-2,0.0038752169128470904,0.0,0.019171614200454767
hsa-mir-103a-1,0.003872637867129103,0.0,0.0463285148637993
hsa-mir-5011,0.003864414331376298,0.028764446711630143,0.0
hsa-mir-4429,0.0038568721366109004,0.0,0.0
hsa-mir-8060,0.0038443327339190425,0.01971250934270108,0.0
hsa-mir-802,0.0038110144344505326,0.019742729820408478,0.02562141950373653
hsa-mir-4431,0.003807790307943093,0.010036324874205249,0.0
hsa-mir-3938,0.003799144443154656,0.0010741186482157161,0.024569877164354992
hsa-mir-518f,0.00379506388661055,0.0,0.0
hsa-mir-4449,0.0037760861329259043,0.017336866814804175,0.0
hsa-mir-1273a,0.003774397121958817,0.0,0.004416292224543206
hsa-mir-3654,0.003771644106809302,0.011394186396291861,0.0
hsa-mir-2114,0.0037690641871531705,0.026385999423089057,0.002797400979423381
hsa-mir-4453,0.0037569436320084026,0.0,0.0
hsa-mir-4476,0.0037347948773378548,0.0,0.0
hsa-mir-3125,0.0036789786988973283,0.0,0.007748147355828738
hsa-mir-4477b,0.0036733078342336967,0.011599142060027656,0.0
hsa-mir-375,0.0036494776330413536,0.03424523621575304,0.0
hsa-mir-668,0.003645726692349527,0.001465330150085098,0.0
hsa-mir-1302-7,0.0036221782086860443,0.007173723784019703,0.008446632603991588
hsa-mir-548ak,0.0036164727326118973,0.019943613170153807,0.03614850667661518
